Order_Date,Ship_Mode,Segment,City,State,Country,Orders_Market,Orders_Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Person,People_Region,Order_ID,Market
2013-02-05T00:00:00.000Z,Second Class,Corporate,WOLLONGONG,New South Wales,AUSTRALIA,APAC,Oceania,Furniture,Chairs,"Novimex Executive Leather Armchair, Black",3709.395,9,0.1,-288.765,923.63,Critical,Anthony Jacobs,Oceania,IN-2013-77878,APAC
2014-09-08T00:00:00.000Z,Standard Class,Corporate,PRATO,Tuscany,ITALY,EU,South,Office Supplies,Appliances,"Hoover Stove, Red",7958.58,14,0.0,3979.08,778.32,Low,Chuck Magee,South,ES-2014-1651774,EU
2014-03-11T00:00:00.000Z,Second Class,Consumer,DHAKA,Dhaka,BANGLADESH,APAC,Central Asia,Furniture,Bookcases,"Safco Classic Bookcase, Metal",3063.27,7,0.0,581.91,609.24,High,Nora Preis,Central Asia,IN-2014-75470,APAC
2014-03-18T00:00:00.000Z,Second Class,Corporate,CHELLES,Ile-de-France,FRANCE,EU,Central,Technology,Copiers,"Sharp Fax Machine, Digital",1505.979,6,0.15,-265.761,498.52,Critical,Anna Andreadi,Central,IT-2014-4499061,EU
2013-10-02T00:00:00.000Z,First Class,Consumer,CHANGCHUN,Jilin,CHINA,APAC,North Asia,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red",3000.78,6,0.0,1080.18,465.63,High,Shirley Daniels,North Asia,IN-2013-17041,APAC
2013-06-10T00:00:00.000Z,Same Day,Home Office,SHENZHEN,Guangdong,CHINA,APAC,North Asia,Technology,Copiers,"Sharp Copy Machine, High-Speed",957.6,4,0.0,0.0,427.1,Critical,Shirley Daniels,North Asia,IN-2013-48184,APAC
2013-06-10T00:00:00.000Z,Same Day,Home Office,SHENZHEN,Guangdong,CHINA,APAC,North Asia,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",1381.32,3,0.0,593.91,403.15,Critical,Shirley Daniels,North Asia,IN-2013-48184,APAC
2014-11-21T00:00:00.000Z,First Class,Consumer,NEW YORK CITY,New York,UNITED STATES,US,East,Technology,Phones,Samsung Galaxy Mega 6.3,1259.97,3,0.0,327.5922,394.57,Critical,Kelly Williams,East,CA-2014-111556,United States
2014-04-17T00:00:00.000Z,Same Day,Consumer,WUHAI,Inner Mongolia,CHINA,APAC,North Asia,Technology,Phones,"Apple Smart Phone, Full Size",1275.0,2,0.0,140.22,377.58,Critical,Shirley Daniels,North Asia,IN-2014-61932,APAC
2014-11-07T00:00:00.000Z,First Class,Consumer,SURABAYA,Jawa Timur,INDONESIA,APAC,Southeast Asia,Office Supplies,Appliances,"KitchenAid Stove, Black",3309.2598,7,0.17,318.8598,374.8,High,Alejandro Ballentine,Southeast Asia,ID-2014-41191,APAC
2014-05-16T00:00:00.000Z,First Class,Home Office,MARSEILLE,Provence-Alpes-Côte d'Azur,FRANCE,EU,Central,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",1189.242,9,0.1,250.992,334.23,High,Anna Andreadi,Central,ES-2014-4856325,EU
